Date,Open,High,Low,Close,Adj Close,Volume
2022-05-13,23788.015625,25323.392578,23579.232422,23881.660156,23881.660156,34938822070
2022-05-14,23883.730469,24617.037109,23402.285156,24542.406250,24542.406250,23301967122
2022-05-15,24540.220703,25542.068359,24074.792969,25539.556641,25539.556641,21077194085
2022-05-16,25538.953125,25539.744141,23828.908203,24229.070313,24229.070313,26461057266
2022-05-17,24228.656250,24641.814453,23735.312500,24365.574219,24365.574219,23304983786
2022-05-18,24364.470703,24509.578125,23265.861328,23265.861328,23265.861328,25343726586
2022-05-19,23265.931641,24319.253906,23251.125000,24323.130859,24323.130859,27098598596
2022-05-20,24320.550781,24598.921875,23099.929688,23375.017578,23375.017578,24614696279
2022-05-21,23374.312500,23692.902344,23243.308594,23567.472656,23567.472656,13832603911
2022-05-22,23567.669922,24325.261719,23441.722656,24252.791016,24252.791016,17300812983
2022-05-23,24241.333984,24358.519531,23047.566406,23155.107422,23155.107422,25052581162
2022-05-24,23156.871094,23734.984375,23012.576172,23645.644531,23645.644531,21222458322
2022-05-25,23643.689453,24058.462891,23534.876953,23488.064453,23488.064453,21869378643
2022-05-26,23489.984375,23718.931641,22500.490234,23195.972656,23195.972656,29145785753
2022-05-27,23183.226563,23250.378906,22429.636719,22667.943359,22667.943359,28966436956
2022-05-28,22664.023438,22816.271484,22610.132813,22816.271484,22816.271484,28125183001
2022-05-29,22978.570313,23351.361328,22837.023438,23324.320313,23324.320313,14332275988
2022-05-30,23322.267578,25244.650391,23204.824219,25088.564453,25088.564453,31060212243
2022-05-31,25086.566406,25568.402344,24877.716797,25212.828125,25212.828125,26597410867
2022-06-01,25213.021484,25344.332031,23623.013672,23873.623047,23873.623047,32956083470
2022-06-02,23870.265625,24333.886719,23740.341797,24222.169922,24222.169922,23121926259
2022-06-03,24222.423828,24357.367188,23474.906250,23785.404297,23785.404297,20959729340
2022-06-04,23786.804688,23966.509766,23621.746094,23888.318359,23888.318359,13282922396
2022-06-05,23890.082031,24116.390625,23681.355469,23942.554688,23942.554688,13821212466
2022-06-06,23945.455078,25279.486328,23931.283203,25049.292969,25049.292969,25509756774
2022-06-07,25050.146484,25009.673828,23456.468750,24751.001953,24751.001953,32389888761
2022-06-08,24747.826172,24845.933594,23833.259766,24093.441406,24093.441406,24115532047
2022-06-09,24094.177734,24453.105469,24038.576172,24103.871094,24103.871094,17363885786
2022-06-10,24102.535156,24200.972656,23537.558594,23616.572266,23616.572266,24252928554
2022-06-11,23617.273438,23874.884766,22925.517578,23026.681641,23026.681641,22122011472
2022-06-12,23036.996094,23141.871094,21800.800781,21800.800781,21800.800781,27829290909
2022-06-13,21780.376953,21825.730469,18239.902344,18519.781250,18519.781250,56170749115
2022-06-14,18520.273438,18911.517578,17263.328125,18488.021484,18488.021484,42387537019
2022-06-15,18479.642578,18608.449219,16711.003906,18542.255859,18542.255859,45106973954
2022-06-16,18545.103516,18771.611328,16423.830078,16502.330078,16502.330078,25248604832
2022-06-17,16505.623047,17261.019531,16492.306641,16752.449219,16752.449219,22203301630
2022-06-18,16754.039063,16961.292969,14484.981445,15555.708984,15555.708984,34362122911
2022-06-19,15550.195313,16923.275391,14778.244141,16808.322266,16808.322266,28892579769
2022-06-20,16808.402344,17041.429688,16136.593750,16814.578125,16814.578125,25155875015
2022-06-21,16810.298828,17601.484375,16631.843750,16887.005859,16887.005859,23621732067
2022-06-22,16894.195313,16973.197266,16184.024414,16314.072266,16314.072266,23323689405
2022-06-23,16313.728516,17228.900391,16284.960938,17198.843750,17198.843750,21360504776
2022-06-24,17197.839844,17508.179688,16942.626953,17311.464844,17311.464844,20349604469
2022-06-25,17313.056641,17547.314453,17093.705078,17532.167969,17532.167969,14980251539
2022-06-26,17527.404297,17761.599609,17104.615234,17119.457031,17119.457031,14676892968
2022-06-27,17120.224609,17437.544922,16800.699219,16904.287109,16904.287109,17091968940
2022-06-28,16901.080078,17246.931641,16597.031250,16640.099609,16640.099609,17543378547
2022-06-29,16640.537109,16684.658203,16387.548828,16575.144531,16575.144531,19418504265
2022-06-30,16578.679688,16613.355469,15379.913086,16269.950195,16269.950195,21600838484
2022-07-01,16299.343750,16979.347656,15820.401367,15918.520508,15918.520508,25417227850
2022-07-02,15923.039063,16003.097656,15718.367188,15896.124023,15896.124023,14952846423
2022-07-03,15895.990234,16157.457031,15668.692383,15945.964844,15945.964844,13544408199
2022-07-04,15946.162109,16719.078125,15761.838867,16701.250000,16701.250000,17826740950
2022-07-05,16696.373047,17257.916016,16204.723633,16894.037109,16894.037109,22354180513
2022-07-06,16897.806641,17273.533203,16567.320313,17235.150391,17235.150391,20632733019
2022-07-07,17234.787109,18104.419922,16991.998047,17987.283203,17987.283203,21459935026
2022-07-08,17986.923828,18524.636719,17736.582031,18056.601563,18056.601563,41462271475
2022-07-09,18044.730469,18186.248047,17827.808594,17949.384766,17949.384766,24640373177
2022-07-10,17948.449219,17948.449219,17230.250000,17359.105469,17359.105469,23873505708
2022-07-11,17355.697266,17355.697266,16746.335938,16782.896484,16782.896484,20295434576
2022-07-12,16782.828125,16901.996094,16255.910156,16268.997070,16268.997070,21729882335
2022-07-13,16270.729492,17029.710938,16020.304688,17036.271484,17036.271484,27850671520
2022-07-14,17035.759766,17590.099609,16733.271484,17371.791016,17371.791016,26314306555
2022-07-15,17374.523438,17813.640625,17234.832031,17575.984375,17575.984375,21852026360
2022-07-16,17574.109375,18128.230469,17291.316406,17875.345703,17875.345703,20501048529
2022-07-17,17879.332031,18221.478516,17475.072266,17476.052734,17476.052734,19282969386
2022-07-18,17478.210938,18879.662109,17478.210938,18817.980469,18817.980469,33454118930
2022-07-19,18803.050781,19722.650391,18108.181641,19484.566406,19484.566406,40623852107
2022-07-20,19487.699219,20203.109375,19151.066406,19411.832031,19411.832031,35873321805
2022-07-21,19413.058594,19538.650391,18807.779297,19311.216797,19311.216797,28036526955
2022-07-22,19310.484375,19678.804688,18830.294922,18922.054688,18922.054688,26174815706
2022-07-23,18915.394531,19140.500000,18328.886719,18714.214844,18714.214844,20010663165
2022-07-24,18714.240234,19146.464844,18582.066406,18863.820313,18863.820313,19661729613
2022-07-25,18862.144531,18899.966797,17721.705078,17721.751953,17721.751953,29512798441
2022-07-26,17721.271484,17721.271484,17273.865234,17647.708984,17647.708984,23783697638
2022-07-27,17651.376953,18881.457031,17487.863281,18854.023438,18854.023438,26112943449
2022-07-28,18856.566406,19801.638672,18728.576172,19587.609375,19587.609375,33034233954
2022-07-29,19588.699219,19870.001953,19412.707031,19552.054688,19552.054688,29476172015
2022-07-30,19545.636719,20182.810547,19367.968750,19430.144531,19430.144531,23119679842
2022-07-31,19426.746094,19812.431641,19124.039063,19178.634766,19178.634766,19356718678
2022-08-01,19178.488281,19096.699219,18696.468750,19024.222656,19024.222656,21092732915
2022-08-02,19019.519531,19179.986328,18591.746094,18922.662109,18922.662109,23378775080
2022-08-03,18925.287109,19354.912109,18718.648438,18822.164063,18822.164063,21657587691
2022-08-04,18823.570313,19074.865234,18480.277344,18613.464844,18613.464844,20660836340
2022-08-05,18610.072266,19290.337891,18610.027344,19291.214844,19291.214844,23923176139
2022-08-06,19292.962891,19322.068359,19019.494141,19019.494141,19019.494141,13235256032
2022-08-07,19021.337891,19355.345703,18964.224609,19215.431641,19215.431641,13171966539
2022-08-08,19218.447266,19975.279297,19219.685547,19701.113281,19701.113281,23644777433
2022-08-09,19702.763672,19774.335938,18976.099609,19189.181641,19189.181641,19513416467
2022-08-10,19188.005859,19758.591797,18870.281250,19611.921875,19611.921875,26892214708
2022-08-11,19612.498047,20272.666016,19596.619141,19645.605469,19645.605469,30444838282
2022-08-12,19645.337891,20106.310547,19493.634766,20098.283203,20098.283203,22456253070
2022-08-13,20097.763672,20474.861328,20051.582031,20115.785156,20115.785156,18932493340
2022-08-14,20119.894531,20569.464844,19936.396484,20053.236328,20053.236328,18960502647
2022-08-15,20052.396484,20744.753906,19775.427734,20020.146484,20020.146484,29132802114
2022-08-16,20011.158203,20117.968750,19611.750000,19746.417969,19746.417969,22946414248
2022-08-17,19744.785156,20156.861328,19290.984375,19372.962891,19372.962891,25678660187
2022-08-18,19377.146484,19557.132813,19420.906250,19456.314453,19456.314453,19904631902
2022-08-19,19456.794922,19456.794922,17642.628906,17649.988281,17649.988281,34247027062
2022-08-20,17646.005859,18048.775391,17631.113281,17892.601563,17892.601563,23327834906
2022-08-21,17887.810547,18317.607422,17839.460938,18203.718750,18203.718750,19529374118
2022-08-22,18201.472656,18201.472656,17752.763672,18187.851563,18187.851563,26914718954
2022-08-23,18189.669922,18239.589844,17846.380859,18197.800781,18197.800781,26946870033
2022-08-24,18196.419922,18466.798828,17954.458984,18146.207031,18146.207031,27108817156
2022-08-25,18146.580078,18410.369141,18098.238281,18270.218750,18270.218750,26244305429
2022-08-26,18266.142578,18377.089844,17215.796875,17269.031250,17269.031250,36078085620
2022-08-27,17271.130859,17337.865234,16928.824219,17057.523438,17057.523438,25632348712
2022-08-28,17056.923828,17140.349609,16780.851563,16780.851563,16780.851563,20844149517
2022-08-29,16779.429688,17380.671875,16762.414063,17316.746094,17316.746094,27844201898
2022-08-30,17317.273438,17536.763672,16838.095703,16981.009766,16981.009766,29578619533
2022-08-31,16983.388672,17481.490234,16983.388672,17288.710938,17288.710938,28649786053
2022-09-01,17289.343750,17428.041016,17029.869141,17430.585938,17430.585938,26138363223
2022-09-02,17429.662109,17620.669922,17214.968750,17343.146484,17343.146484,25293319349
2022-09-03,17343.101563,17401.542969,17107.429688,17223.572266,17223.572266,20507226799
2022-09-04,17223.906250,17426.109375,17053.986328,17420.939453,17420.939453,22004949408
2022-09-05,17422.748047,17440.330078,17115.925781,17130.707031,17130.707031,24913471771
2022-09-06,17135.335938,17397.382813,16321.275391,16365.694336,16365.694336,37708291778
2022-09-07,16365.708008,16852.373047,16253.630859,16745.679688,16745.679688,30591175051
2022-09-08,16745.345703,16877.406250,16635.962891,16779.089844,16779.089844,27946126747
2022-09-09,16777.617188,18487.031250,16763.093750,18436.796875,18436.796875,41794886385
2022-09-10,18433.140625,18768.128906,18257.916016,18699.357422,18699.357422,31837915228
2022-09-11,18697.634766,18735.324219,18463.382813,18734.208984,18734.208984,29684839675
2022-09-12,18734.976563,19167.166016,18611.042969,19137.292969,19137.292969,42955036171
2022-09-13,19138.175781,19339.339844,17456.228516,17645.267578,17645.267578,44416879693
2022-09-14,17547.765625,17787.369141,17141.517578,17533.197266,17533.197266,32805738029
2022-09-15,17534.236328,17630.376953,17081.033203,17203.509766,17203.509766,31775649014
2022-09-16,17205.951172,17433.060547,17016.931641,17322.345703,17322.345703,26390445097
2022-09-17,17326.244141,17663.990234,17326.244141,17633.367188,17633.367188,21864721132
2022-09-18,17633.066406,17633.066406,16977.898438,16983.542969,16983.542969,27334210903
2022-09-19,16982.724609,17171.837891,16142.359375,17076.742188,17076.742188,35104776573
